iter	Logloss
0	0.635380854
1	0.6011963101
2	0.5795191638
3	0.5657228031
4	0.5572796741
5	0.5519797589
6	0.5483327546
7	0.5457062009
8	0.5437468012
9	0.5416117546
10	0.5405602248
11	0.539658366
12	0.5390579816
13	0.5384445171
14	0.5376618374
15	0.5370985295
16	0.5366579093
17	0.5362900852
18	0.5357243493
19	0.5351956033
20	0.5348500602
21	0.5345584599
22	0.5344264791
23	0.5342665562
24	0.5340823878
25	0.533971575
26	0.5337993144
27	0.5335574374
28	0.5333621198
29	0.5331791601
30	0.533045239
31	0.5329128572
32	0.5327749571
33	0.5326632243
34	0.5325197518
35	0.5323555184
36	0.5322301628
37	0.5321262442
38	0.5320223174
39	0.5318898077
40	0.5317192364
41	0.5315666841
42	0.5314668956
43	0.53140279
44	0.5312669924
45	0.5311223961
46	0.5310283774
47	0.5309172372
48	0.5308543105
49	0.5307494067
50	0.530644917
51	0.5305523894
52	0.5304271954
53	0.5303177002
54	0.5301927368
55	0.53009612
56	0.5299774307
57	0.5298343173
58	0.5296790697
59	0.5295713019
60	0.5294514027
61	0.5293088754
62	0.5291609492
63	0.5289990265
64	0.528858026
65	0.5286922521
66	0.5285200677
67	0.5283948738
68	0.5282381899
69	0.5281071379
70	0.5279271367
71	0.5277501775
72	0.5276002144
73	0.5274288164
74	0.5272720002
75	0.5271311365
76	0.5269510368
77	0.5268016168
78	0.5266459476
79	0.5264830561
80	0.5263437966
81	0.5261908368
82	0.5260593463
83	0.5259030949
84	0.5257594256
85	0.5256276797
86	0.5254739979
87	0.5253460678
88	0.5252343682
89	0.525106489
90	0.524942505
91	0.5248126061
92	0.5246800283
93	0.5245612612
94	0.5244443829
95	0.5242789363
96	0.5241460403
97	0.5240020888
98	0.5238138177
99	0.5236635263
100	0.5235228276
101	0.5233721061
102	0.5232518042
103	0.5231167881
104	0.5229872901
105	0.5228193926
106	0.522693184
107	0.5225465572
108	0.5223798625
109	0.5222233689
110	0.5221369295
111	0.521982091
112	0.5218698193
113	0.5217797732
114	0.5216580104
115	0.5215079487
116	0.5213771915
117	0.5212355695
118	0.5210614131
119	0.5209493032
120	0.5208219844
121	0.5207024083
122	0.5205707116
123	0.5204676763
124	0.5203391778
125	0.5202277713
126	0.5201112757
127	0.5199986763
128	0.5198625297
129	0.5197530207
130	0.5196479711
131	0.5195389279
132	0.5194346673
133	0.5192830914
134	0.5191649312
135	0.519033193
136	0.5189315495
137	0.5188001949
138	0.5186885618
139	0.5185814551
140	0.5184755586
141	0.5183392265
142	0.5182273615
143	0.5180940246
144	0.5179902674
145	0.5178590192
146	0.5177754648
147	0.5176199749
148	0.5174554917
149	0.5173179436
150	0.5171725995
151	0.5170408326
152	0.5169211566
153	0.5167585813
154	0.5166663327
155	0.5165469772
156	0.5164186245
157	0.5162691348
158	0.5161712252
159	0.516063355
160	0.5159332281
161	0.5157971053
162	0.515655876
163	0.5155494252
164	0.5154078614
165	0.5153056323
166	0.5151618732
167	0.5150333154
168	0.5149212478
169	0.5148113244
170	0.5146842116
171	0.514600453
172	0.5144972464
173	0.5143682437
174	0.5141957332
175	0.5140512859
176	0.5139423911
177	0.5138092726
178	0.5136957836
179	0.5135724633
180	0.5134661529
181	0.5133422057
182	0.5132027521
183	0.5130417636
184	0.5129208234
185	0.5128450613
186	0.5127267108
187	0.5126080307
188	0.5124885694
189	0.512382185
190	0.5122533996
191	0.5121081806
192	0.5119925506
193	0.5119064432
194	0.5117802184
195	0.5116419924
196	0.5115167901
197	0.5114230735
198	0.5113283204
199	0.5112370174
200	0.5111380693
201	0.5110474813
202	0.510910462
203	0.5107953769
204	0.5106867312
205	0.5105470042
206	0.5104386138
207	0.5103484467
208	0.5102173636
209	0.5100426513
210	0.5099439305
211	0.5098172617
212	0.5097232233
213	0.5096560588
214	0.5095526361
215	0.5094265442
216	0.5092912421
217	0.5091696738
218	0.5090773428
219	0.5089659993
220	0.5088409904
221	0.5087557066
222	0.5086542877
223	0.5085403188
224	0.5084417418
225	0.508367564
226	0.5082708768
227	0.5081638024
228	0.5080535402
229	0.5079727971
230	0.5078579498
231	0.5077389196
232	0.5076120309
233	0.5074987885
234	0.5073743284
235	0.5072764433
236	0.507149513
237	0.5070314137
238	0.5069201334
239	0.5068002118
240	0.5067151919
241	0.5065825909
242	0.5064415583
243	0.5063380311
244	0.506221298
245	0.5060944983
246	0.5059926772
247	0.5058955475
248	0.5057711773
249	0.5056434401
250	0.5055160378
251	0.5053996006
252	0.5053003833
253	0.5051964732
254	0.5051151971
255	0.5050054319
256	0.5049178407
257	0.5048019707
258	0.5046963584
259	0.5045925384
260	0.504449733
261	0.5043437088
262	0.5042133839
263	0.504125369
264	0.5040344916
265	0.5039283804
266	0.503835795
267	0.5037357458
268	0.5036388826
269	0.5035401714
270	0.5034299921
271	0.5033370137
272	0.5032033976
273	0.5030818375
274	0.5029627961
275	0.5028681771
276	0.5027312109
277	0.5026434621
278	0.5025527824
279	0.5024435587
280	0.5023293237
281	0.5022186008
282	0.5021158543
283	0.5020122829
284	0.5018944459
285	0.5017686115
286	0.5016741419
287	0.5015846154
288	0.5014754096
289	0.5013516092
290	0.5012509901
291	0.5011504626
292	0.5010350665
293	0.5009347991
294	0.5008430914
295	0.5007605021
296	0.5006612004
297	0.500522481
298	0.5004110889
299	0.5002946324
