iter	Passed	Remaining
0	3	1074
1	7	1087
2	11	1136
3	14	1109
4	18	1108
5	22	1091
6	26	1103
7	30	1111
8	34	1117
9	38	1103
10	41	1093
11	45	1088
12	49	1084
13	52	1075
14	55	1062
15	59	1058
16	63	1063
17	67	1058
18	71	1051
19	74	1044
20	78	1038
21	81	1028
22	84	1019
23	87	1010
24	91	1006
25	94	997
26	97	988
27	101	985
28	104	977
29	108	974
30	112	972
31	115	963
32	118	959
33	122	957
34	126	956
35	129	950
36	132	944
37	136	939
38	140	938
39	144	936
40	147	931
41	151	928
42	154	924
43	157	918
44	161	914
45	164	909
46	168	904
47	171	901
48	175	900
49	179	896
50	182	892
51	186	887
52	189	884
53	193	881
54	197	878
55	200	875
56	203	868
57	207	866
58	210	861
59	214	858
60	218	854
61	222	852
62	226	850
63	229	845
64	233	843
65	236	838
66	240	835
67	244	835
68	248	832
69	252	828
70	256	827
71	260	824
72	263	819
73	267	816
74	271	814
75	275	810
76	278	806
77	282	802
78	285	799
79	290	798
80	293	793
81	296	789
82	300	784
83	304	782
84	307	778
85	311	774
86	315	771
87	318	767
88	322	765
89	326	761
90	330	758
91	333	754
92	338	752
93	341	749
94	345	744
95	348	740
96	352	737
97	356	734
98	359	730
99	363	726
100	366	723
101	371	720
102	374	717
103	378	713
104	381	709
105	385	706
106	389	703
107	393	699
108	397	696
109	401	692
110	405	690
111	409	686
112	413	683
113	416	679
114	420	676
115	424	672
116	428	669
117	431	665
118	435	662
119	438	657
120	442	654
121	445	649
122	448	645
123	452	642
124	456	638
125	459	634
126	463	631
127	466	627
128	470	623
129	474	619
130	477	615
131	480	611
132	483	607
133	486	602
134	489	598
135	493	595
136	496	591
137	500	587
138	504	583
139	507	580
140	511	576
141	514	572
142	518	569
143	522	565
144	525	562
145	529	557
146	532	554
147	535	550
148	539	546
149	542	542
150	546	538
151	549	535
152	552	531
153	556	527
154	559	523
155	562	519
156	566	515
157	569	512
158	573	508
159	576	504
160	580	501
161	583	497
162	587	493
163	590	490
164	594	486
165	598	482
166	601	479
167	605	475
168	608	471
169	612	468
170	615	464
171	619	460
172	622	457
173	626	453
174	629	449
175	632	445
176	635	441
177	639	437
178	642	434
179	645	430
180	649	426
181	652	423
182	656	419
183	660	416
184	663	412
185	667	409
186	671	405
187	675	402
188	678	398
189	682	394
190	685	390
191	688	387
192	691	383
193	694	379
194	698	376
195	701	372
196	705	368
197	709	365
198	712	361
199	715	357
200	718	354
201	722	350
202	725	346
203	729	343
204	733	339
205	736	336
206	740	332
207	743	328
208	747	325
209	750	321
210	754	318
211	757	314
212	761	310
213	765	307
214	768	303
215	771	300
216	775	296
217	778	292
218	782	289
219	786	285
220	789	282
221	792	278
222	796	275
223	799	271
224	802	267
225	806	264
226	810	260
227	813	256
228	816	253
229	820	249
230	823	246
231	826	242
232	830	238
233	833	234
234	836	231
235	840	227
236	843	224
237	846	220
238	849	216
239	853	213
240	857	209
241	860	206
242	863	202
243	867	199
244	870	195
245	874	191
246	877	188
247	881	184
248	884	181
249	887	177
250	891	174
251	894	170
252	898	166
253	901	163
254	905	159
255	909	156
256	913	152
257	917	149
258	920	145
259	924	142
260	928	138
261	931	135
262	935	131
263	938	128
264	942	124
265	946	120
266	950	117
267	953	113
268	957	110
269	961	106
270	965	103
271	968	99
272	972	96
273	975	92
274	980	89
275	983	85
276	987	81
277	990	78
278	995	74
279	999	71
280	1002	67
281	1006	64
282	1009	60
283	1013	57
284	1017	53
285	1021	49
286	1024	46
287	1028	42
288	1032	39
289	1035	35
290	1039	32
291	1043	28
292	1047	25
293	1051	21
294	1054	17
295	1058	14
296	1062	10
297	1066	7
298	1069	3
299	1073	0
