iter	Logloss
0	0.6751092751
1	0.6595439396
2	0.6458043954
3	0.6341214689
4	0.6232236676
5	0.613340136
6	0.6042316577
7	0.5973465546
8	0.5908832245
9	0.5847223345
10	0.5786009337
11	0.5745328082
12	0.5707619345
13	0.5667781507
14	0.5635424365
15	0.561178129
16	0.5580245177
17	0.5551980548
18	0.5525616992
19	0.5504576444
20	0.5488719999
21	0.5467221981
22	0.5447742717
23	0.5430802871
24	0.5419064751
25	0.5409385739
26	0.5398199877
27	0.5390245773
28	0.5380918851
29	0.5372828225
30	0.5365027309
31	0.5357980011
32	0.5350356475
33	0.5344966991
34	0.5337164674
35	0.5332929338
36	0.5326425118
37	0.5320179194
38	0.5315091373
39	0.5311081186
40	0.530521389
41	0.5300869037
42	0.5295565095
43	0.5291708379
44	0.5288748241
45	0.5286000468
46	0.5282137231
47	0.5277741268
48	0.5275099176
49	0.5272589527
50	0.5270442291
51	0.5268451452
52	0.5265994463
53	0.526199156
54	0.5258984642
55	0.5257096298
56	0.5254514271
57	0.525235003
58	0.525100773
59	0.5249028223
60	0.5247310123
61	0.5245691816
62	0.5244363373
63	0.5242898507
64	0.5241367825
65	0.5239845505
66	0.5238042061
67	0.5236375458
68	0.5234712394
69	0.5233728455
70	0.523198006
71	0.5230737298
72	0.5229765129
73	0.5228024004
74	0.5227273658
75	0.5226045341
76	0.5224796568
77	0.5223759269
78	0.5222705988
79	0.5221806514
80	0.5220758733
81	0.5219830163
82	0.5218319338
83	0.5217350263
84	0.5216193114
85	0.5215156931
86	0.5214027287
87	0.5213184272
88	0.5212310744
89	0.5211275268
90	0.5209969076
91	0.5209227017
92	0.5208131258
93	0.5206906557
94	0.520582353
95	0.520486218
96	0.5203967338
97	0.5203007155
98	0.5201924951
99	0.5201193518
100	0.520063849
101	0.5199887405
102	0.5199004945
103	0.5197992757
104	0.5197220648
105	0.5196246329
106	0.5195298748
107	0.5194622541
108	0.5193667217
109	0.519265864
110	0.5191721915
111	0.5190452108
112	0.5189552033
113	0.5188590784
114	0.5187667418
115	0.5186983734
116	0.5186297161
117	0.5185431962
118	0.518445217
119	0.5183724412
120	0.5182765205
121	0.518216367
122	0.5181026128
123	0.5180161936
124	0.5179214142
125	0.517841919
126	0.517757771
127	0.5176764237
128	0.5175958252
129	0.5175210807
130	0.5174526309
131	0.517372788
132	0.5172775919
133	0.5171790474
134	0.5170539316
135	0.5169775014
136	0.516878302
137	0.5167786711
138	0.5166709178
139	0.5166112281
140	0.5165421482
141	0.5164499295
142	0.516358665
143	0.5163067333
144	0.5162340515
145	0.5161867225
146	0.516069404
147	0.5160238766
148	0.5159479928
149	0.5158547821
150	0.5157899713
151	0.5157260115
152	0.5156369433
153	0.5155883019
154	0.5155209098
155	0.5154670488
156	0.5153810219
157	0.5153083017
158	0.5152281506
159	0.5151679205
160	0.5150967422
161	0.5150490604
162	0.5149648233
163	0.5148959423
164	0.5148228544
165	0.5147579613
166	0.5146777309
167	0.5146082663
168	0.5145494128
169	0.5144842778
170	0.5143687136
171	0.5143075725
172	0.5142344283
173	0.5141799438
174	0.5140790186
175	0.514001367
176	0.5139391901
177	0.5138715482
178	0.5138310612
179	0.5137631946
180	0.5136772161
181	0.5135992648
182	0.5135463512
183	0.5134937449
184	0.5134385728
185	0.5133547673
186	0.5132870053
187	0.5132205796
188	0.5131514372
189	0.5130577346
190	0.512991221
191	0.5129139868
192	0.5128433188
193	0.5127618662
194	0.5126964119
195	0.5126292995
196	0.5125640976
197	0.5124992933
198	0.5124397195
199	0.5123755988
200	0.5123039823
201	0.5122074481
202	0.5121495387
203	0.5120881435
204	0.5119952591
205	0.5119152053
206	0.511813514
207	0.5117588651
208	0.5116923414
209	0.5116074613
210	0.5115436837
211	0.5114855591
212	0.5114198243
213	0.511362306
214	0.5113115652
215	0.5112332694
216	0.5111702322
217	0.5110883708
218	0.5110101871
219	0.5109285818
220	0.510876179
221	0.510797661
222	0.5107468889
223	0.5106776324
224	0.5105951247
225	0.5104999729
226	0.5104382165
227	0.5103598307
228	0.5102867022
229	0.5102028942
230	0.5101386259
231	0.5100616824
232	0.5099957951
